chunks,questions,answers
"Если выбираешь основную программу, ты получаешь:- полноценную востребованную профессию;- гибкое обучение с возможностью выбора трека и его продолжительности;- оптимальный баланс теоретических и практических знаний, делающий тебя - конкурентоспособным на рынке молодых специалистов;- возможность присоединиться к сообществу и найти для себя наиболее интересное направление профессионального развития;- навык работы над собственным проектом с оперативной обратной связью и помощью от лучших экспертов отрасли.Если выбираешь семестровый курс, ты получаешь:- возможность получить углубленные знания по одному из современных направлений разработки;- актуальные и практические умение и навыки по выбранному направлению подготовки;- опыт работы в команде и полезные знакомства;- более высокую вероятность поступления на треки основной программы.","В чём разница между основной программой и семестровым курсом?
","
Если выбираешь основную программу, ты получаешь полноценную востребованную профессию, гибкое обучение с возможностью выбора трека и его продолжительности, оптимальный баланс теоретических и практических знаний, делающий тебя конкурентоспособным на рынке молодых специалистов, возможность присоединиться к сообществу и найти для себя наиболее интересное направление профессионального развития, а также навык работы над собственным проектом с оперативной обратной связью и помощью от лучших экспертов отрасли.

Если выбираешь семестровый курс, ты получишь возможность получить углублённые знания по одному из современных направлений разработки, актуальные и практические умения и навыки по выбранному направлению подготовки, опыт работы в команде и полезные знакомства, а также более высокую вероятность поступления на треки основной программы."
"Да. Мы отчисляем за неуспеваемость. По статистике, примерно 50% студентов первого семестра ОЦ переводятся на следующий. Учитывая, что у студентов МГТУ высокая нагрузка по программам обучения в Университете, мы не зачисляем в проект первокурсников..","Почему вы не зачисляете в проект первокурсников? 

","
Мы не зачисляем в проект первокурсников, потому что у студентов МГТУ высокая нагрузка по программам обучения в Университете, а также потому, что примерно 50% студентов первого семестра ОЦ отчисляют за неуспеваемость."
"Преподаватели в Образовательном центре VK в МГТУ - действующие сотрудники VK и компаний-партнёров. Многие из них , закончив проект, вернулись в него преподавателями и одновременно работают в компании. В ходе обучения преподаватели могут приглашать студентов на стажировку в свои бизнес-юниты.","Могут ли преподаватели из Образовательного центра VK в МГТУ приглашать студентов на стажировку в свои компании?

"," Да, могут."
Занятия проходят в гибридном формате: онлайн на платформе VK и в аудиториях ГЗ МГТУ им. Н. Э. Баумана либо в Доме Образовательного центра VK в МГТУ (аудитория 395 ГЗ). Возможно проведение хакатонов и воркшопов в офисе компании VK.,"Где проходят занятия в рамках гибридного формата?
","
В рамках гибридного формата занятия проходят на платформе VK и в аудиториях ГЗ МГТУ им. Н. Э. Баумана либо в Доме Образовательного центра VK в МГТУ (аудитория 395 ГЗ). Возможно проведение хакатонов и воркшопов в офисе компании VK."
"Это три мультимедийных зала для занятий, рабочие офисы сотрудников Образовательного центра VK в МГТУ, два подиума со столами для работы команд студентов и холл с кофемашиной и диванчиками для комфортной работы. Дом ОЦ расположен в 395 аудитории ГЗ (3 этаж, центральная часть). В 2022 году в Центре проведён ремонт силами компании VK.","Где находятся мультимедийные залы и рабочие офисы сотрудников Образовательного центра VK в МГТУ?

","

Мультимедийные залы и рабочие офисы Образовательного центра VK расположены в доме ОЦ в аудитории 395 на третьем этаже центральной части здания."
"Занятия по всем трекам основной программы проводятся с 18:00 до 21:00 2-3 раза в неделю в аудиториях ГЗ МГТУ или в режиме онлайн.Иногда пары проходят по субботам: с 09:00 до 12:00 и с 13:00 до 16:00.Расписание занятий выкладывается на портале за 7-10 дней до начала семестра, чтобы студенты могли оценить свою загрузку по основной учёбе и в ОЦ.","В какие дни и в какое время проводятся занятия по основной программе?

","
Занятия по всем трекам основной программы проводятся с 18:00 до 21:00 2–3 раза в неделю в аудиториях ГЗ МГТУ или в режиме онлайн. Иногда пары проходят по субботам: с 09:00 до 12:00 и с 13:00 до 16:00."
"Да. На некоторых курсах предъявляются особые требования к характеристикам ноутбука. Например, чтобы заняться разработкой на IOS, нужен макбук.",Какие требования предъявляются к ноутбуку для разработки на IOS? , Для разработки на IOS требуется макбук.
"Студенты, обучающиеся на наших образовательных программах, получают доступ к джуниор-вакансиям VK и приоритет среди других кандидатов.Старт карьеры VK — это возможность профессионального роста, поддержка наставников и выбор проекта.","Какие преимущества получают студенты, обучающиеся на ваших образовательных программах?

","
Доступ к джуниор-вакансиям VK и приоритет среди других кандидатов. Также они могут воспользоваться стартом карьеры в VK, который предполагает профессиональный рост, поддержку наставников и выбор проекта."
"После поступления на курс ты получишь доступ к закрытым вакансиям, сможешь подать заявку и пройти собеседование.","Какие возможности открываются для меня после поступления на курс?

","

После поступления на курс ты получишь доступ к закрытым вакансиям, сможешь подать заявку и пройти собеседование."
"Быть студентом 2-6 курсов бакалавриата , специалитета или  магистратуры МГТУ им. Н. Э. Баумана. Есть несколько дополнительных условий:- как показывает практика, студенты второго высшего образования не тянут дополнительную нагрузку в виде обучения в проекте, так как время занятий совпадает с вузовским;- студентам последнего года обучения предъявляют повышенные требования к уровню навыков и знаний на отборе.Посещение занятий студентами, не прошедшими отбор, невозможно. Есть исключения для сотрудников VK, которые проходят некоторые курсы в рамках программы повышения квалификации от компании.Если студент заканчивает вуз на 1-2 семестра раньше окончания основной программы ОЦ, то ему оформляют пропуск для посещения занятий ( это правило относится только к основной программе проекта).","Каковы условия участия в проекте для студентов МГТУ им. Н. Э. Баумана?

","
Условием участия в проекте является обучение на 2–6 курсе бакалавриата, специалитета или магистратуры МГТУ им. Н. Э. Баумана. Студенты второго высшего образования не могут участвовать из-за совпадения времени занятий с вузовскими. Студентам последнего года обучения предъявляют повышенные требования к уровню навыков и знаний на отборе. Посещение занятий студентами, не прошедшими отбор, невозможно. Для сотрудников VK сделано исключение: они могут пройти некоторые курсы в рамках программы повышения квалификации от компании. Если студент заканчивает вуз на 1–2 семестра раньше окончания основной программы ОЦ, ему оформляют пропуск для посещения занятий (это правило относится только к основной программе проекта)."
"Учёба в вузе всегда приоритетнее, а Центр работает в  формате дополнительного образования. Если студент не выполняет необходимые требования для перехода на следующий семестр - сдать на положительную оценку все курсы семестра, то он отчисляется. При этом можно снова поступать в ОЦ на общих основаниях вне зависимости от семестра, на котором произошло отчисление из проекта.","Каковы последствия невыполнения студентом необходимых требований для перехода на следующий семестр в вашем центре?

","
Студент отчисляется из центра, но при этом может снова поступить на общих основаниях вне зависимости от семестра, на котором произошло отчисление."
"Интересоваться программированием, самостоятельно готовиться и учиться решать задачи. Если студент имеет хорошую успеваемость в вузе, то уровня его знаний должно хватить для успешного прохождения отбора.","Какие навыки и знания необходимы студенту для успешного прохождения отбора в РАГ, если он интересуется программированием и самостоятельно учится решать задачи?

","

Студенту необходимо иметь хорошую успеваемость в вузе, а также обладать навыками самостоятельного решения задач и интересом к программированию. Этого должно быть достаточно для успешного прохождения отбора."
"Да, ведутся записи лекций онлайн, которые доступны только для студентов проекта на портале и в чатах соответствующих курсов. Видео курсов, которые читались в разное время в ОЦ и других образовательных проектах компании, размещены на каналеVK Teamв общем доступе.","Вопрос: есть ли возможность посмотреть записи лекций для тех, кто не участвует в проекте?
"," видеозаписи курсов, которые читались в разное время в ОЦ и других образовательных проектах компании, размещены на канале VK Team в общем доступе. Записи лекций онлайн доступны только для студентов проекта на портале и в чатах соответствующих курсов."
"Балльно-рейтинговая система. Рейтинг — это сумма баллов при сдаче контрольных точек, набранная студентом в течение семестра. Для успешного перевода на следующий семестр необходимо набрать пороговый рейтинг — минимальное количество баллов, установленное преподавателями по каждой дисциплине. Разбалловка по курсу доносится на первом занятии. Кроме того, преподаватель объясняет вес каждого рубежного контроля, задачи или проекта в общем балле, который может набрать студент. С 2021 года действует гибкая система обучения, позволяющая раньше заканчивать проект. Диплом выдаётся только после окончания четырёх семестров по  программе веб-разработки, трёх — для  программы по машинному обучению и двух семестров по мобильной разработке на IOS или Android.",Как работает балльно-рейтинговая система и что нужно сделать для успешного перевода на следующий семестр? ," Для успешного перевода на следующий семестр необходимо набрать пороговый рейтинг — минимальное количество баллов, установленное преподавателями по каждой дисциплине. С 2021 года действует гибкая система обучения, которая позволяет раньше заканчивать проект."
"Нет, но студенты обязаны сдать контрольные точки и набрать определённое количество баллов для перехода на следующий семестр. Если студент не сдал хотя бы один из курсов, он отчисляется из проекта.","Какие последствия ждут студента, который не сдал хотя бы один из курсов?
","
Если студент не сдал хотя бы один из курсов, он отчисляется из проекта."
"Обучение в Центре построено на гибридном формате. Полностью удалённое обучение невозможно, так как содержание дисциплин изменяется каждый семестр и просмотра видеозаписей недостаточно для полноценного освоения курса. Также преподаватель не сможет объективно оценить студента без личного общения.Студент может посещать только те курсы, которые входят в программу его обучения в конкретном семестре. Студенты, не прошедшие отбор, не допускаются к обучению в Центре.","Каковы особенности обучения в Центре?
","
Обучение в Центре построено на гибридном формате. Полностью удалённое обучение невозможно, так как содержание дисциплин изменяется каждый семестр и просмотра видеозаписей недостаточно для полноценного освоения курса. Также преподаватель не сможет объективно оценить студента без личного общения. Студенты могут посещать только те курсы, которые входят в программу их обучения в конкретном семестре. Студенты, не прошедшие отбор, не допускаются к обучению в Центре."
"Студенты могут задавать вопросы преподавателям по нескольким каналам:- на очных занятиях в ходе лекций и семинаров ;- в блоге дисциплин на портале ОЦ (комментарии к посту о занятии, например);- в личных сообщениях на портале;- в чате дисциплины в VK;- письмом на личную почту преподавателя.","Где лучше задавать вопросы преподавателю, если я пропустила занятие?  

","  
В блоге дисциплин на портале ОЦ можно оставить комментарий к посту о занятии, в личных сообщениях на портале, в чате дисциплины в VK или написать письмо на личную почту преподавателя."
"В последнем семестре разрабатывают итоговый командный проект, где необходимо продемонстрировать знания и навыки, полученные за время обучения. Это возможность пополнить портфолио сложной и интересной работой. Проект увидит и оценит экспертное жюри из числа топ-менеджеров VK.","Какие перспективы открываются перед студентами, которые успешно выполнят итоговый командный проект в последнем семестре?

","
Успешное выполнение итогового командного проекта в последнем семестре позволит студентам пополнить портфолио сложной и интересной работой. Проект увидит и оценит экспертное жюри из числа топ-менеджеров VK."
"Примерно 18 академических часов в неделю, из которых 12 — аудиторные (3-4 занятия). Достаточно много времени занимает работа над проектами в команде.","Сколько часов в неделю занимает аудиторная работа и как много времени уходит на командные проекты?

","

Аудиторная работа занимает 12 часов в неделю (3–4 занятия), а работа над проектами в команде занимает достаточно много времени."
Набор на основную программу обучения проходит два раза в год: в сентябре и феврале - он связан с началом семестров в вузе.,"Когда проходит набор на основную программу обучения?  

","  

Набор на основную программу обучения проходит два раза в год: в сентябре и феврале."
"В первом семестре для решения практических заданий активно используется C++ и Python, а также парадигма объектно-ориентированного программирования.","Какие языки программирования и парадигмы используются в первом семестре для решения практических заданий?

","
C++ и Python, а также парадигма объектно-ориентированного программирования."
"Отбор проходит в два этапа: онлайн-тестирование и очное собеседование с преподавателями, включающее мотивационную часть и решение задач.","Какие этапы отбора необходимо пройти, чтобы поступить в РАГ?

","

Отбор проходит в два этапа: онлайн-тестирование и очное собеседование с преподавателями, включающее мотивационную часть и решение задач."
"Если студент успешно проходит первый отборочный этап ( тестирование online), его приглашают на второй - очное собеседование с преподавателями проекта.На почту приходит письмо-приглашение с открытыми слотами для собеседования и кейсом, который является частью очного собеседования и к которому нужно подготовиться заранее.Место проведения: МГТУ им. Н. Э. Баумана , длительность собеседования -  35-40 минут.Собеседование состоит из трёх частей:- задания на чтение кода,- задания на написание кода,- решение кейса. Последний получают на почту после успешного прохождения тестирования для предварительной подготовки. На собеседовании студентам потребуется прокомментировать ход решения кейса и ответить на вопросы эксперта. Задание кейса будет направлено на почту после успешного прохождения тестирования.В течение трёх рабочих дней после собеседованияна почту придёт письмо с приглашением на организационное собрание для зачисленных и с отказом для тех, кто не прошёл отбор.","Какие этапы отбора необходимо пройти, чтобы попасть в проект?

","

Чтобы попасть в проект, нужно успешно пройти два этапа отбора: первый — тестирование online, второй — очное собеседование с преподавателями проекта."
"Для регитстрации на отбор необходимо:1. Подробно заполнить анкету абитуриента, указывая актуальные телефон и почту.В анкете  необходимо указывать курс  и группу вуза, на который вы перешли (для старта набора в августе) или на котором учитесь (для старта набора в январе!2. Выбрать программу или курс в личном кабинете.3.Получать уведомления о начале отбора, его этапах, результатах на указанную при регистрации почту. 4.Следить за информацией о ходе отборана порталеив группе в VK.","Как зарегистрироваться на отбор?
","
Для регистрации на отбор необходимо подробно заполнить анкету абитуриента, указав актуальные телефон и почту. В анкете следует указать курс и группу вуза, на который вы перешли (для старта набора в августе) или на котором учитесь (для старта набора в январе). Затем нужно выбрать программу или курс в личном кабинете. После этого вы будете получать уведомления о начале отбора, его этапах и результатах на указанную при регистрации почту. Также необходимо следить за информацией о ходе отбора на портале и в группе в VK."
"Убедиться в том, что ты проверяешь почтовый адрес, который был указан при регистрации на проект. Проверить папку «Спам» — письмо могло попасть в неё.Если на почте ссылки нет, то её можно найти в своём личном кабинете. Для этого переходи на портал проекта и ищи кнопку «К испытанию». Она будет в блоке с программой, на которую подана заявка.Если возникнут технические вопросы, пиши в поддержку: info@park.vk.company","Как проверить, что я зарегистрирован на проект, и где найти ссылку для участия в испытании?  
","  
Чтобы убедиться в том, что вы зарегистрированы на проект, проверьте почтовый адрес, который был указан при регистрации. Также стоит проверить папку «Спам»: письмо могло попасть туда. Если ссылки нет в почте, её можно найти в личном кабинете на портале проекта. Для этого перейдите на портал и ищите кнопку «К испытанию» в блоке с программой, на которую подана заявка. При возникновении технических вопросов обращайтесь в поддержку по адресу info@park.vk.company."
"Мы проводим организационное собрание для тех, кто поступил на один из треков основной программы, на котором рассказываем студентам о проекте, отвечаем на вопросы и выдаём подарочный мерч.Для 1 семестра осеннего набора обучение начинается ориентировочно с 1 октября, для весеннего набора - с 1 марта. Весь сентябрь и февраль проходят промо наборов и отборочные испытания.","Когда начинается обучение для тех, кто поступил на основную программу?

","
Обучение начинается ориентировочно с 1 октября для осеннего набора и с 1 марта — для весеннего. Весь сентябрь и февраль проходят промо наборов и отборочные испытания."
"Диплом об окончании курса, который даёт 15 дополнительных баллов при поступлении в магистратуру МГТУ.","Вопрос: что даёт диплом об окончании курса, который я получу, если успешно завершу обучение?  
", диплом об окончании курса даёт 15 дополнительных баллов при поступлении в магистратуру МГТУ.
"Отбор проходит в виде тестирования и мотивационного письма, которое имеет большой вес при принятии решения о зачислении. Набор осуществляется два раза в год: обычно в сентябре и  феврале. Но время набора может меняться, следить за анонсами запуска курсов можно вгруппе VK.",Как проходит отбор на курсы и когда обычно начинается набор?,"Отбор на курсы проходит в виде тестирования и мотивационного письма. Набор осуществляется два раза в год: обычно в сентябре и феврале. Но время набора может меняться, поэтому рекомендуется следить за анонсами запуска курсов в группе VK."
Обычно от четырёх академических часов в неделю без учёта времени на домашние задания. Но нагрузка на каждой программе может быть разной. .,"Сколько в среднем академических часов в неделю отводится на обучение по программам, если не учитывать время на выполнение домашних заданий?","В среднем на обучение по программам отводится **от четырёх академических часов в неделю** (без учёта времени на выполнение домашних заданий).

Однако нагрузка может отличаться в зависимости от программы."
"Да, на семестровые курсы существует отбор в виде тестирования, так как конкурс достаточно большой. По окончании обучения экзаменов нет, но есть баллы за контрольные мероприятия, по сумме которых выставляются итоговые оценки. По итогам обучения выдается сертификат об окончании курса, который дает 5 дополнительных баллов при поступлении в магистратуру МГТУ.","Какие условия поступления на семестровые курсы и как происходит оценка знаний студентов?
","
Чтобы поступить на семестровые курсы, необходимо пройти отбор в виде тестирования. По окончании обучения экзаменов нет, но есть баллы за контрольные мероприятия, по сумме которых выставляются итоговые оценки. По итогам обучения выдаётся сертификат об окончании курса, который даёт 5 дополнительных баллов при поступлении в магистратуру МГТУ."
"Баллы и оценки заносятся в сертификат об окончании курса, который даёт пять дополнительных баллов при поступлении в магистратуру МГТУ.","Сколько дополнительных баллов даёт сертификат об окончании курса при поступлении в магистратуру МГТУ?

","

Пять."
"На некоторых курсах могут обучаться не только студенты МГТУ, но и студенты других российских или московских вузов. Поэтому для подачи заявки, прохождения отбора и обучения необходимо зарегистрироваться напортале VK Образованияи насайте ОЦ.","Как зарегистрироваться на курсы РАГ, если я учусь в другом вузе?
","
Чтобы зарегистрироваться на курсы РАГ, необходимо пройти регистрацию на портале VK Образования и на сайте ОЦ."
"Стипендию могут получить студенты,обучающиеся в 2023/2024 учебном году на 2-4 семестре основной программы от VK(Системный архитектор, Web-разработчик, ML-разработчик, Мобильный разработчик на iOS или Android), имеющие только оценки «хорошо» и «отлично» по результатам предшествующего семестра.","Какие требования предъявляются к студентам, чтобы получить стипендию от VK в 2023/2024 учебном году?

","
Требования к получению стипендии от VK: обучение на 2–4 семестре основной программы в 2023/2024 учебном году по направлениям «Системный архитектор», «Web-разработчик», «ML-разработчик» или «Мобильный разработчик на iOS или Android»; наличие только оценок «хорошо» и «отлично» по результатам предшествующего семестра."
Размер стипендии составляет 15 000 рублей в месяцСтипендия от VK начисляется ежемесячно в течении 4 месяцев (сентябрь - декабрь 2023 для осеннего семестра; февраль 2024 - май 2024 для весеннего семестра),"Сколько месяцев будет выплачиваться стипендия от VK и какой размер этой стипендии?
","
Стипендия от VK начисляется ежемесячно в течение 4 месяцев: с сентября по декабрь 2023 года для осеннего семестра и с февраля по май 2024 года для весеннего семестра. Размер стипендии составляет 15 000 рублей в месяц."
"Стипендия пересматривается каждый семестр.Студент может получать стипендию два и более семестров подряд до завершения обучения на программе, при выполнении условия об обучении на ""хорошо"" и ""отлично"" в прошлом учебном семестре.","Как часто пересматривается стипендия?
","
Стипендия пересматривается каждый семестр."
"Получение стипендии от компании VK не зависит от того, обучается студент в вузе на бюджетной или платной форме обучения.Стипендия суммируется с академической стипендией, начисляемой вузом.","От чего не зависит получение стипендии от компании VK?

"," Получение стипендии от компании VK не зависит от того, обучается студент в вузе на бюджетной или платной форме обучения."
"При соответствии критериям получения стипендии, студент программы от VK будет автоматически внесен в список стипендиатов.Если для оформления стипендии что-то потребуется - к студенту обратится напрямую представитель вуза или VK.","Какие действия будут предприняты после того, как студент программы от VK выполнит все требования для получения стипендии?
","
После выполнения всех требований для получения стипендии, студент программы от VK будет автоматически внесён в список стипендиатов. Если для оформления стипендии что-то потребуется — к студенту обратится напрямую представитель вуза или VK."
"Университет Факультет ИУ Третий этаж ГЗ Деканат ИУ Телефон: +7-499-263-62-16 Телефон: +7-499-263-65-11 Декан: Пролетарский Андрей Викторович. Часы приёма: День Время ПН нет приёма ВТ 11:00 - 12:30 СР нет приёма ЧТ 16:00 - 17:30 ПТ нет приёма СБ нет приёма ВС нет приёма Профком ИУ Девятый этаж ГЗ Кафедра ИУ5 Можно подняться по лестнице, но лучше на лифте. Заведующий кафедрой Чёрненький Валерий Михайлович. Кабинет: 902. Часы приёма: День Время ПН нет приёма ВТ 16:00 - 18:00 СР нет приёма ЧТ нет","Где находится деканат ИУ и как связаться с деканом?

","
Деканат ИУ находится на третьем этаже главного здания. Телефон: +7-499-263-62-16. Декан — Пролетарский Андрей Викторович. Часы приёма: день, вторник 11:00–12:30, четверг 16:00–17:30."
